"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Невалидные тесты логина","0","","1","0","Заполнение поля логин не валидными данными - заглавными буквами","0"
"0","Невалидные тесты пароля","0","","1","0","Заполнение поля пароль не валидными данными - пробелами","0"
"0","Невалидные тесты логина","0","","1","0","Заполнение поля логин не валидными данными -  только цифры","0"
"1","Создание новости","0","","0","0","Cоздание новости","0"
"0","Тесты раздела цитат","0","","1","0","Свернуть/развернуть цитату","0"
"1","Тесты навигации новостей","0","","0","0","Переход из News в About","0"
"0","Невалидные тесты пароля","0","","1","0","Заполнение поля пароль не валидными данными - разными цифрами","0"
"0","Тесты навигации новостей","0","","1","0","Переход в редактирование новосте","0"
"0","Тесты раздела цитат","0","","1","0","Переход из Our Mission в About","0"
"0","Невалидные тесты логина","0","","1","0","Заполнение поля логин не валидными данными - русскими буквами","0"
"0","Невалидные тесты пароля","0","","2","0","Заполнение поля пароль не валидными данными - заглавными буквами","0"
"0","Тесты о приложении","0","","1","0","В разделе About налиие всех компонентов","0"
"0","Тесты навигации новостей","0","","1","0","Переход из News в Main","0"
"0","Контрольная панель тесты","0","","1","0","Переход в Creating news ","0"
"0","Тесты раздела цитат","0","","1","0","Переход из Our Mission в News","0"
"0","Создание новости","0","","1","0","Наличие всех элементов Creatin News","0"
"0","Контрольная панель тесты","0","","1","0","Переход в фильтр новостей в Control Panel","0"
"0","Контрольная панель тесты","0","","1","0","Переход в Our Mission","0"
"0","Тесты главного раздела","0","","1","0","Переход в Our Mission из Main","0"
"0","Невалидные тесты логина","0","","1","0","Оставить поле логин пустым","0"
"0","Невалидные тесты пароля","0","","1","0","Заполнение поля пароль пустой строкой","0"
"0","Невалидные тесты логина","0","","1","0","Заполнение поля логин не валидными данными - пробелами","0"
"0","Невалидные тесты пароля","0","","1","0","Заполнение поля пароль не валидными данными - одной цифрой","0"
"0","Тесты раздела цитат","0","","1","0","Наличие контента и скрол вниз","0"
"0","Тесты главного раздела","0","","1","0","Переход в About из Main","0"
"0","Авторизация","0","","1","0","Успешный вход в приложение с валидными данными","0"
"1","Тесты навигации новостей","0","","0","0","Выбор третьей новости в списке и вывод текста","0"
"0","Тесты главного раздела","0","","1","0","Переход в News из Main","0"
"1","Создание и удаление новости","0","","0","0","Создание и удаление новости","0"
"0","Авторизация","0","","1","0","Отображение всех элементов авторизации","0"
"0","Тесты навигации новостей","0","","1","0","Сортировка новостей","0"
"0","Невалидные тесты пароля","0","","1","0","Заполнение поля пароль не валидными данными - русскими буквами","0"
"0","Контрольная панель тесты","0","","1","0","Сортировка новостей в Control panel и вывод в консоль перв","0"
"1","Фильтр новостей","0","","0","0","","0"
"1","Тесты главного раздела","0","","0","0","Клик по первой новости и получение текста из него","0"
"0","Тесты навигации новостей","0","","1","0","Переход в настройку фильтра новостей","0"
"0","Невалидные тесты логина","0","","1","0","Заполнение поля логин не валидными данными - одной цифрой","0"
"0","Создание новости","0","","1","0","Отмена создания новости","0"
"0","Тесты главного раздела","0","","1","0","Нажать на кнопку ALL NEWS в Main","0"
"0","Тесты раздела цитат","0","","1","0","Переход из Our Mission в Main","0"
"0","Тесты о приложении","0","","1","0","В разделе About нажать кнопку назад","0"
"0","Невалидные тесты логина","0","","1","0","Заполнение поля логин не валидными данными - символы","0"
"0","Тесты навигации новостей","0","","1","0","Переход из News из Our Mission","0"
