"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7102","enteringCapitalLettersENInLoginFieldTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidLoginInAuthorizationPageTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidLoginInAuthorizationPageTest","enteringCapitalLettersENInLoginFieldTest"
"","6820","fillInPasswordFieldWithSpacesTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidPasswordInAuthorizationPageTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidPasswordInAuthorizationPageTest","fillInPasswordFieldWithSpacesTest"
"","7014","enteringNumbersInLoginFieldTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidLoginInAuthorizationPageTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidLoginInAuthorizationPageTest","enteringNumbersInLoginFieldTest"
"","19876","shouldCreateNewsValidTest","","2025-09-30","broken","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.CreatingNewsTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.CreatingNewsTest","shouldCreateNewsValidTest"
"","12865","shouldBeDisplayOurMissionTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.OurMissionTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.OurMissionTest","shouldBeDisplayOurMissionTest"
"","16846","transitionFromNewsToAboutTest","","2025-09-30","broken","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.NewsTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.NewsTest","transitionFromNewsToAboutTest"
"","7036","enteringNumbersInPasswordFieldTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidPasswordInAuthorizationPageTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidPasswordInAuthorizationPageTest","enteringNumbersInPasswordFieldTest"
"","15114","transitionToControlPanelTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.NewsTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.NewsTest","transitionToControlPanelTest"
"","14556","transitionFromOurMissionToAboutTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.OurMissionTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.OurMissionTest","transitionFromOurMissionToAboutTest"
"","6579","fillInLoginFieldWithRULettersTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidLoginInAuthorizationPageTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidLoginInAuthorizationPageTest","fillInLoginFieldWithRULettersTest"
"","7275","enteringCapitalLettersENInPasswordFieldTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidPasswordInAuthorizationPageTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidPasswordInAuthorizationPageTest","enteringCapitalLettersENInPasswordFieldTest"
"","12193","shouldBeFullContentAboutPageTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.AboutTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.AboutTest","shouldBeFullContentAboutPageTest"
"","13814","transitionFromNewsToMainTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.NewsTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.NewsTest","transitionFromNewsToMainTest"
"","16034","transitionToCreatingNewsTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.ControlPanelTest","transitionToCreatingNewsTest"
"","14117","transitionFromOurMissionToNewsTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.OurMissionTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.OurMissionTest","transitionFromOurMissionToNewsTest"
"","17398","shouldOpenCreateNewsTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.CreatingNewsTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.CreatingNewsTest","shouldOpenCreateNewsTest"
"","15747","enterFiltersInNewsEditorTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.ControlPanelTest","enterFiltersInNewsEditorTest"
"","17450","transitionFromControlPageToOurMissionTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.ControlPanelTest","transitionFromControlPageToOurMissionTest"
"","12154","transitionFromMainToQuotesTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.MainTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.MainTest","transitionFromMainToQuotesTest"
"","7315","leaveLoginFieldEmptyTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidLoginInAuthorizationPageTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidLoginInAuthorizationPageTest","leaveLoginFieldEmptyTest"
"","6425","leavePasswordFieldEmptyTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidPasswordInAuthorizationPageTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidPasswordInAuthorizationPageTest","leavePasswordFieldEmptyTest"
"","6900","fillInLoginFieldWithSpacesTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidLoginInAuthorizationPageTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidLoginInAuthorizationPageTest","fillInLoginFieldWithSpacesTest"
"","6986","enteringOneNumberInPasswordFieldTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidPasswordInAuthorizationPageTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidPasswordInAuthorizationPageTest","enteringOneNumberInPasswordFieldTest"
"","12135","presenceOfContentAndScrollQuotesTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.OurMissionTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.OurMissionTest","presenceOfContentAndScrollQuotesTest"
"","12155","transitionFromMainToAboutTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.MainTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.MainTest","transitionFromMainToAboutTest"
"","9893","successAuthTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.SuccessfullLogin","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.SuccessfullLogin","successAuthTest"
"","12087","selectThirdNewsAndLogTextTest","","2025-09-30","broken","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.NewsTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.NewsTest","selectThirdNewsAndLogTextTest"
"","11640","transitionFromMainToNewsTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.MainTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.MainTest","transitionFromMainToNewsTest"
"","301031","creatingAndDeletingNewsItemTest","","2025-09-30","broken","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.DeleteNewsTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.DeleteNewsTest","creatingAndDeletingNewsItemTest"
"","5439","shouldBeFullContentInAboutBlock","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.SuccessfullLogin","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.SuccessfullLogin","shouldBeFullContentInAboutBlock"
"","14786","sortNewsByPressingButtonTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.NewsTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.NewsTest","sortNewsByPressingButtonTest"
"","6592","fillInPasswordFieldWithRULettersTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidPasswordInAuthorizationPageTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidPasswordInAuthorizationPageTest","fillInPasswordFieldWithRULettersTest"
"","17769","sortingNewsInNewsEditorTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.ControlPanelTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.ControlPanelTest","sortingNewsInNewsEditorTest"
"","16195","transitionToCreatingNewsTest","","2025-09-30","broken","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.FilterNewsTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.FilterNewsTest","transitionToCreatingNewsTest"
"","13486","clickSecondNewsItemAndLogTextTest","","2025-09-30","broken","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.MainTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.MainTest","clickSecondNewsItemAndLogTextTest"
"","7294","fillInPasswordFieldWithSpecialCharactersTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidPasswordInAuthorizationPageTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidPasswordInAuthorizationPageTest","fillInPasswordFieldWithSpecialCharactersTest"
"","12286","goToNewsFilterSettingsTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.NewsTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.NewsTest","goToNewsFilterSettingsTest"
"","7056","enteringOneNumberInLoginFieldTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidLoginInAuthorizationPageTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidLoginInAuthorizationPageTest","enteringOneNumberInLoginFieldTest"
"","17305","shouldCancelCreateNewsTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.CreatingNewsTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.CreatingNewsTest","shouldCancelCreateNewsTest"
"","9944","goToNewsViaButtonALLNEWSTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.MainTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.MainTest","goToNewsViaButtonALLNEWSTest"
"","14295","transitionFromOurMissionToMainTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.OurMissionTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.OurMissionTest","transitionFromOurMissionToMainTest"
"","12099","backButtonAboutTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.AboutTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.AboutTest","backButtonAboutTest"
"","7283","fillInLoginFieldWithSpecialCharactersTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidLoginInAuthorizationPageTest","ru.iteco.fmhandroid.ui.tests.AuthorizationTests.InvalidLoginInAuthorizationPageTest","fillInLoginFieldWithSpecialCharactersTest"
"","10649","transitionFromNewsToQuotesTest","","2025-09-30","passed","2025-09-30","","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.NewsTest","ru.iteco.fmhandroid.ui.tests.NavigationAPPTest.NewsTest","transitionFromNewsToQuotesTest"
